RecordNumber,take_type,sw_allo_block,WAP,WapRate,AllocatedRate,FromMonth,ToMonth,SD1,SD2,ConsentStatus,FromDate,ToDate
WTK854781A,Take Surface Water,In Waitaki,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1986-05-12,1992-10-20
CRC917365,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1992-03-26,1996-04-30
CRC895058,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1990-02-02,1992-12-01
CRC890849,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-10-31,1992-04-30
SCY820064,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1987-04-08,1992-03-01
CRC895054B,Take Surface Water,In Waitaki,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1991-02-01,1992-08-07
CRC900486C,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1991-04-24,2000-07-06
CRC905169B,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1992-01-30,1995-09-01
SCY820349,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1982-12-09,1992-12-01
CRC905218,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1990-10-05,1992-06-24
SCY810001,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1989-09-13,1996-05-29
CRC905222,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1990-12-11,1995-09-01
CRC905222A,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1990-11-02,1995-09-01
CRC905429,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1991-03-01,1992-12-01
SCY820114,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-10-11,1992-12-01
SCY820092,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1987-05-13,1992-06-01
CRC915080,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1991-06-12,1999-07-14
WTK854781A.1,Take Surface Water,In Waitaki,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1992-10-20,2001-04-11
CRC916306C,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1991-10-23,1995-12-19
CRC905121,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1990-07-06,1992-12-01
CRC905170,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1992-01-30,1995-09-01
CRC905223A,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1990-11-02,1995-09-01
SCY800100,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-07-12,2000-05-01
SCY830049,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1987-12-09,1992-09-18
NCY870109,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1987-12-04,1992-04-30
CRC916635,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1991-10-23,1992-12-01
CRC890502,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1990-03-02,1991-08-21
WTK861601C,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1986-05-20,1994-01-12
CRC915035,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1991-04-19,1994-07-11
NCY870280C,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1991-08-29
CRC970356,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1996-12-09,2001-06-05
WTK893311,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-09-21,1993-06-30
NCY830203,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1983-08-01,1991-04-30
WTK876001,Take Surface Water,In Waitaki,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-03-12,1998-06-30
WTK835071,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-03-17,1993-06-30
NCY880230A,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-09-02,1991-04-30
CRC971658,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1998-01-07,2001-06-07
CRC890502.1,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1991-08-21,1992-04-30
CRC971657,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1998-01-07,1998-10-02
WTK846571B,Take Surface Water,In Waitaki,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1985-02-12,1994-07-12
CRC981333,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1998-04-03,2001-10-16
CRC970356.1,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,2001-06-05,2001-08-30
NCY880271,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
CRC900486C.1,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,2000-07-06,2004-04-30
CRC915035.1,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1994-07-11,1995-09-01
SCY770029,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1989-05-10,2003-01-21
NCY880127B,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,1997-04-30
NCY880090,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-10-31,1991-04-30
NCY880595,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1991-04-30
NCY880707,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1997-04-30
SCY790015,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1988-12-14,2003-12-10
NCY880326,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1988-08-05,1998-11-04
NCY790460,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-21,1999-11-15
NCY890410,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1989-10-31,1992-04-30
CRC960092,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Replaced,1995-08-30,2002-05-13
NCY870071A,Take Surface Water,A,,30.0,30.0,1,12,0.0,0.0,Terminated - Expired,1987-07-03,1992-04-30
CRC905405,Take Surface Water,A,,29.0,29.0,1,12,0.0,0.0,Terminated - Expired,1991-10-23,1992-12-01
CRC930064,Take Surface Water,A,,29.0,29.0,1,12,0.0,0.0,Terminated - Expired,1993-03-25,1995-06-01
CRC930065A,Take Surface Water,A,,29.0,29.0,1,12,0.0,0.0,Terminated - Expired,1993-03-25,1995-06-01
CRC905404,Take Surface Water,A,,29.0,29.0,1,12,0.0,0.0,Terminated - Expired,1991-10-23,1995-09-01
SCY880030,Take Surface Water,A,,29.0,29.0,1,12,0.0,0.0,Terminated - Surrendered,1989-08-09,1999-10-11
WTK690371A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-11,1991-12-13
WTK702301,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1970-03-25,1991-06-11
CRC900688,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1991-08-28,1995-04-30
WTK690491B.1,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1992-11-27,2002-08-05
WTK864701B.1,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1992-02-03,1995-11-01
SCY820372B,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1989-09-13,1992-12-01
SCY690473D,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-08-13,2001-10-01
NCY720287,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-03-17,2001-10-01
SCY800082,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1988-10-12,1995-12-19
WTK690261,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-02-25,2001-10-01
CRC905379,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1991-02-01,1995-09-01
WTK691351,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-03-31,2001-10-01
WTK854231A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1986-05-12,1900-01-01
CRC951776.1,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,2001-08-08,2002-04-30
CRC916060,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1992-02-04,1994-07-01
SCY690473A,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-08-13,2001-10-01
WTK690491B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1990-03-17,1992-11-27
WTK864701B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1987-12-23,1992-02-03
CRC905264B,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1990-12-07,1992-12-01
WTK690491A.1,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1992-11-27,2002-08-05
WTK702291A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1970-03-25,1991-09-03
WTK690291B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-02-28,2001-10-01
WTK690491A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1969-03-17,1992-11-27
CRC900676D,Take Surface Water,A,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1992-03-06,1996-03-06
WTK690291A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Expired,1969-02-28,2001-10-01
WTK690381A,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-11,1991-12-13
WTK690381B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-11,1991-12-13
WTK854231B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1986-05-12,1900-01-01
CRC951776,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1995-11-02,2001-08-08
WTK690371B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-11,1991-12-13
WTK691621B,Take Surface Water,In Waitaki,,28.0,28.0,1,12,0.0,0.0,Terminated - Replaced,1969-05-26,2001-02-15
NCY870275A,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1991-08-29
CRC900351,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1990-10-05,1993-04-30
SCY830098,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Surrendered,1986-12-11,1991-05-24
CRC916263,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1992-03-06,1996-04-30
SCY820193,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1989-02-08,1997-06-01
CRC905135,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1990-07-06,1992-12-01
CRC900350,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1990-10-05,1993-04-30
WTK853091,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1986-02-12,1991-06-30
CRC895048,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1990-02-02,1992-12-01
WTK865591,Take Surface Water,In Waitaki,,27.0,27.0,1,12,0.0,0.0,Terminated - Surrendered,1986-02-12,1991-07-19
NCY870275A.1,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1991-08-29,1992-04-30
CRC930721,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Surrendered,1993-08-12,1999-09-15
NCY870282C,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1991-08-29
NCY870282C.1,Take Surface Water,A,,27.0,27.0,1,12,0.0,0.0,Terminated - Expired,1991-08-29,1992-04-30
CRC950355,Take Surface Water,A,,26.5,26.5,1,12,0.0,0.0,Terminated - Replaced,1994-11-18,2001-04-04
CRC950355.1,Take Surface Water,Opihi-BA,,26.5,26.5,1,12,0.0,0.0,Terminated - Surrendered,2001-04-04,2002-09-04
NCY890664,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1989-10-31,1992-04-30
SCY870042,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1987-11-10,1992-12-01
SCY830043C,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1987-11-10,1992-12-01
NCY890204,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1989-08-04,1991-04-30
CRC922097,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1993-01-16,1996-04-30
SCY690429,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1969-08-13,2001-10-01
NCY880202,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1991-04-30
NCY880397B,Take Surface Water,A,,26.0,26.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,1991-04-30
CRC921525,Take Surface Water,A,,25.3,25.3,1,12,0.0,0.0,Terminated - Expired,1993-02-25,2001-12-13
NCY870282B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1991-08-29
SCY780179,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1989-10-11,1992-12-01
SCY790238,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1987-11-10,1992-12-01
NCY870258,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1988-05-06,1992-04-30
SCY880023,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1989-04-12,1992-03-01
CRC905200,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1990-09-07,1995-09-01
CRC915081B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1991-06-12,1996-12-01
CRC895001,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1989-11-21,1992-12-01
CRC900686.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1994-07-13,1996-04-30
NCY880500,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1991-04-30
CRC920817B.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1994-02-16,1999-12-23
NCY880313A,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
NCY840670,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-10,2001-04-11
CRC905174,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1990-09-07,1995-07-01
NCY880033B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,2001-04-30
CRC900686,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1992-03-06,1994-07-13
CRC916388,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1992-03-06,1995-04-03
SCY880026,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1989-04-12,1991-07-22
SCY820058B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1992-03-01
CRC970462.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,2000-02-10,2000-11-15
NCY830182,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1983-07-01,1991-09-26
SCY870003,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1987-04-08,1991-09-01
SCY820353,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1989-05-10,1992-09-01
NCY880033C,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1988-10-07,2000-05-01
WTK841521A,Take Surface Water,In Waitaki,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1984-09-21,1994-12-31
WTK864331,Take Surface Water,In Waitaki,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1986-07-21,1994-12-01
NCY780224,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1900-01-01,2001-10-01
CRC920179,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1992-03-04,1996-12-01
SCY810121,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1991-09-01
NCY780132A,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1969-03-11,2001-10-01
CRC970532,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1999-07-14,2002-08-22
NCY880730,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1989-02-03,1991-05-15
CRC921141,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1992-07-16,1996-04-30
NCY880521,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1988-11-04,1995-05-31
SCY820058A,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1992-03-01
SCY840058,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1989-09-13,1991-05-24
CRC917249,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1992-01-24,1992-07-20
NCY890600,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1989-10-06,1992-04-30
CRC920257,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1992-03-25,1996-12-01
NCY870282B.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1991-08-29,1992-04-30
SCY820336,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-06-12,1991-09-01
SCY790093,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1989-09-13,1999-04-12
CRC920817B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1992-12-10,1994-02-16
CRC921880D,Take Surface Water,In Waitaki,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1992-12-22,2001-10-01
SCY880026.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1991-07-22,1992-03-01
CRC921570,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1992-10-09,1995-11-01
CRC970462,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1999-09-10,2000-02-10
SCY800035,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1992-03-01
NCY800636,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-28,2001-04-23
NCY880521.1,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1995-05-31,2000-05-04
CRC916497,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1991-12-02,1996-12-01
CRC921527,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1993-03-11,1996-06-17
CRC920528,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1992-06-25,1996-12-01
CRC952682,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1995-08-31,2001-03-30
CRC916510B,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1993-05-20,1994-06-14
CRC920817B.2,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1999-12-23,2003-09-15
CRC916482,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1991-10-23,1999-12-01
SCY820057,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1992-03-01
NCY780299,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Expired,1969-03-18,2001-10-01
CRC960088,Take Surface Water,A,,25.0,25.0,1,12,0.0,0.0,Terminated - Replaced,1995-08-30,2002-04-08
CRC960934,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Replaced,1995-12-13,1997-04-09
CRC916667,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Expired,1991-12-02,1996-04-30
CRC922088,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Surrendered,1993-02-25,1996-04-30
SCY840033,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Expired,1986-12-11,1992-03-01
WTK690681A,Take Surface Water,In Waitaki,,24.0,24.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-24,1993-04-21
NCY800818,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Expired,1969-12-22,2001-10-01
NCY800782,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Surrendered,1970-03-23,1992-02-03
CRC905109B,Take Surface Water,A,,24.0,24.0,1,12,0.0,0.0,Terminated - Expired,1990-07-06,1995-06-01
WTK690681B,Take Surface Water,In Waitaki,,24.0,24.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-24,1993-04-21
CRC981583,Take Surface Water,A,,23.5,23.5,1,12,0.0,0.0,Terminated - Surrendered,1998-03-27,2004-06-08
NCY880343,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
NCY890398,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1989-09-01,1991-04-30
NCY870276B.1,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1991-08-29,1992-04-30
NCY880329,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
NCY890395,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1989-09-01,1991-04-30
NCY880066.1,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1996-08-26,1997-04-30
CRC972161.1,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Replaced,1997-03-25,2003-03-17
NCY880361,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
CRC890330,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1989-10-06,1992-04-30
WTK690571A,Take Surface Water,In Waitaki,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1969-03-24,2001-12-13
CRC917304,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1992-03-26,1999-04-30
NCY870276B,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1991-08-29
NCY880385,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1991-04-30
NCY880096,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1991-04-30
CRC916156,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1992-03-06,1996-04-30
NCY880102,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-06-03,1991-04-30
CRC915046,Take Surface Water,In Waitaki,,23.0,23.0,1,12,0.0,0.0,Terminated - Surrendered,1991-06-12,1999-12-22
NCY880040,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,1991-04-30
NCY880066,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Replaced,1988-10-07,1996-08-26
SCY840060,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1989-06-14,1999-09-01
CRC916733,Take Surface Water,A,,23.0,23.0,4,10,0.0,0.0,Terminated - Expired,1991-11-07,1999-04-30
SCY840024,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Surrendered,1986-10-09,1991-06-18
CRC910019,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1992-01-22,1994-04-30
NCY880263,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
CRC920477,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1993-02-02,1994-04-30
NCY890008,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1989-10-31,1991-04-30
CRC972161,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Replaced,1995-08-31,1997-03-25
NCY880031,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-05-06,1992-04-30
CRC905125,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Replaced,1990-07-06,1992-02-13
CRC916384,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1992-03-06,1999-12-01
CRC916135,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1992-03-06,1996-04-30
NCY880397C,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,1991-04-30
SCY800441,Take Surface Water,A,,23.0,23.0,1,12,0.0,0.0,Terminated - Expired,1987-05-13,1992-03-01
SCY820312,Take Surface Water,A,,22.0,22.0,1,12,0.0,0.0,Terminated - Expired,1987-03-12,1991-06-01
NCY810385,Take Surface Water,A,,22.0,22.0,1,12,0.0,0.0,Terminated - Expired,1981-12-01,1991-04-30
NCY880320,Take Surface Water,A,,22.0,22.0,1,12,0.0,0.0,Terminated - Expired,1988-08-05,1991-04-30
NCY880061A,Take Surface Water,A,,22.0,22.0,1,12,0.0,0.0,Terminated - Replaced,1988-08-05,1991-04-28
SCY790070,Take Surface Water,A,,22.0,22.0,1,12,0.0,0.0,Terminated - Expired,1989-09-13,1992-12-01
