ExtSiteID,BandNumber,MinAllocation,MinTrigger,MaxAllocation,MaxTrigger
159,2,50,3.0,50,3.0
1669054,1,0,0.0,0,0.0
1701051,1,0,0.04,0,0.04
2280,2,0,0.1199,0,0.1999
253,3,0,0.1,65,0.508
65106,3,8,0.13,22,0.63
68005,3,70,0.0209,90,0.035
6852602,28,0,112.9999,96,203.0
